file_index,均值 (T1),均方根 (T2),峰值 (T3),峰-峰值 (T4),峭度 (T5),波形指标 (T6),峰值指标 (T7),脉冲指标 (T8),裕度指标 (T9),峭度指标 (T10),偏度 (T11),裂隙因子(T12),过零率(T13),BPFO谐波幅值(f1),BPFI谐波幅值(f2),BSF谐波幅值(f3),转频幅值(f4),频谱质心(f5),谱平坦度(f6),谱带宽(f7),高频能量占比(f8),高频峭度(f9),小波包特征1,小波包特征2,小波包特征3,小波包特征4,小波包特征5,小波包特征6,小波包特征7,小波包特征8,包络最大值(e1),包络最小值(e2),包络均值(e3),包络标准差(e4),包络峰度(e5),包络偏度(e6),包络频谱峰值(e7),包络频谱均值(e8),幅值熵(s1),谱熵(s1),label
J_0,0.17081435481481144,31.306854027574154,279.68016650023907,539.0060982140625,26949982.5083793,183.2799945971491,8.933512331002822,1637.3340917597623,8.933512331002822,28.0543864077862,0.14511059284593483,24.057169483865067,0.4472243940578577,11682.703822963224,4839.099448046403,9001.42207835123,0,2959.2867064788247,0.22523915412355255,3393.431080147299,0.01330319055172511,5.015078429266111,30998.16717186182,58969.26184620456,338130.7840816259,110018.82036617142,82428.53329782469,483534.27603334485,483534.27603334485,64996.59015373561,293.74343041626537,0.36700582251735175,25.60345385678827,36.118948450078726,19.581680567722778,4.113358330364533,32772.420936688985,624.2846632220314,5.11734781948675,7.492199237872478,NO
J_1,-0.11982615327436888,41.067982189234854,327.3385304330516,647.922138798047,69425343.76529905,342.72970521886396,7.970650443080615,2731.7786767596263,7.970650443080615,24.406448001964545,0.43626751216765325,23.27705858665056,0.4222048475371384,16500.671538498067,9314.692500593912,9933.231319386803,0,2755.0704276508227,0.11704004223344439,2964.9683116192455,0.01981100877134114,16.449142039653,54519.851465977365,74354.4329094008,703919.5186904314,88441.89448043055,49099.43737087973,1047876.9487209156,1047876.9487209156,75278.81234663642,431.66627581648635,0.6505897219942419,32.2679967294049,48.287453383611975,24.697194903659156,4.440153135459106,41303.03581363827,787.287764471141,5.1551996131313755,7.0423991198046245,NO
J_2,-0.15158630071424933,10.487091105591634,35.26130533491716,67.32031981992188,34211.511074706024,69.18231433960861,3.362353295101643,232.61538258254063,3.362353295101643,2.8284733629438232,0.0242984800821203,5.049782168191673,0.39014855355746675,436.5841823433936,484.70860262037615,483.7852687258809,0,3434.248039046402,0.0863449555781315,2942.336986945604,0.06201878698902839,3.032693064541488,12219.95403850738,18712.41229282357,45049.40757409757,20745.535029216742,1551.056752419008,33215.23085787438,33215.23085787438,6837.405680772925,36.460905605397755,0.16182695846677814,13.178250815788806,6.80211174548348,-0.21491337646172326,0.45196027640396264,16868.16104420967,174.62107326216378,7.225429187536539,7.376083441807026,NO
J_3,-0.06549410073255996,44.18661957013357,338.2597289966359,649.095332025,66502729.36668579,674.6656427968403,7.655252478858349,5164.735834421073,7.655252478858349,17.445216299635547,0.1895756870687022,20.413905847016043,0.43862392494136043,18124.127569827513,12374.033703237996,14220.188392747796,0,3249.1923932349473,0.18466670650940498,3392.6502772296662,0.01933668496522185,8.795530273064376,54760.38292550782,81326.34854348283,872705.0448234126,155639.59022811215,129816.95643099453,831873.6869096353,831873.6869096353,220096.10703915372,354.7397198496547,1.0660644398213208,37.14857460968845,50.246797142666466,12.784656514407738,3.3235802269212593,47550.17550040122,900.4674106986058,5.395484948477898,7.325333043070803,NO
J_4,-0.09001115729597568,17.97001525336077,164.9605413068797,306.58515109687494,2378455.7289888794,199.64208652791305,9.1797663486139,1832.6677076760009,9.1797663486139,22.80873971192413,0.025862110837774586,20.287586496624225,0.38389366692728694,5091.076354428289,1727.1664969393319,2820.187519379556,0,3276.8741857996206,0.102622095410009,3009.684589345915,0.03612842097278573,6.240929516959466,23064.71205209098,23665.24804498488,85824.91803229993,26955.692034685268,25372.125803448507,169709.0156952399,169709.0156952399,27635.892685132778,174.43255092922004,0.7259692929028159,16.822725809903,19.046684512942385,27.557337756856064,4.633902368838365,21533.089036675843,375.44140275716285,5.414227198466804,7.413876970272397,NO
J_5,-0.05857135405930712,40.8831158291954,432.438309436089,817.982588005078,130578019.76906899,698.0053045691707,10.577430331943455,7383.102480407376,10.577430331943455,46.74058341191429,0.5497267587144994,41.58648407282832,0.3956215793588741,13026.443312292075,6817.241667471067,11335.117739660282,0,2819.131796565429,0.21507896343067134,3314.97463665638,0.00871147072143559,5.02582229689919,38982.814787332514,118320.14039790287,995001.3467600064,168829.67839346683,42907.285038120055,470622.4005746323,470622.4005746323,153099.3729084618,482.8824029281864,0.40268058085018643,25.40445239040236,51.93709283420198,33.03872071376819,5.458467497570484,32517.699059715014,848.0681397357188,4.301214538829536,7.502744406748652,NO
J_6,0.0671888629527428,31.657817382016212,339.67684099702655,567.0794668382812,27619599.83665796,471.17656097681987,10.729635492495639,5055.552751888922,10.729635492495639,27.497518563026837,0.7076209087953683,25.924191187780583,0.3964034401876466,12352.542922016184,3826.004431933252,9762.67047166999,0,3438.618212670389,0.34435423975638285,4190.211903084673,0.05457570060653682,26.261488112187095,74499.84325573221,99737.01026758552,416406.178408776,90987.48598504176,70251.70363928228,231703.84488807325,231703.84488807325,101342.72314009769,382.4504463708922,0.26599389554664143,28.097105215223934,34.852844388555695,28.265290314560175,4.424062163530335,35964.294675486635,679.6842590452645,5.269624690710453,8.122531490724523,NO
J_7,-0.12030715689009167,10.89040607005447,37.69376427554216,72.15523849570312,42482.586078301996,90.52168093377485,3.461189971528181,313.31273425385524,3.461189971528181,3.0201926877494087,-0.010813998621592812,5.14489015612992,0.3815480844409695,503.5219530534786,600.0753563178017,876.872018406595,0,3395.5088145198647,0.09026356344489392,2956.2497974452813,0.07507892548635396,3.352160146229226,14961.54747262126,21759.272672871426,48487.491702322135,17663.228592315827,1834.7145323095351,37228.44839231478,37228.44839231478,7318.2403135609,44.86784483039013,0.2701758347193845,13.64159747548679,7.148021434703048,0.47633328682882325,0.713794817451686,17461.244768623088,177.48281829709123,7.17158974101199,7.2360927872976,NO
J_8,-0.10849343648298712,36.57946326817716,316.09648421616714,611.9315032277343,38060356.44088875,337.15830610557896,8.641364743346575,2913.507899307202,8.641364743346575,21.258055478781355,0.242572121630048,23.38502340464502,0.4323690383111806,15089.814093956962,5867.672518760428,11644.988822676605,0,2748.0036794886573,0.1962355079214865,3407.3974203740804,0.017874229699255752,7.9855553763475715,53754.03399731052,40122.456921353725,550691.9061743439,79576.31964809322,37911.72153617618,744228.9753340824,744228.9753340824,109562.687353089,323.9091664232956,1.0249525671461492,30.629891293315417,41.688003258194634,15.651677747647458,3.5552817061142217,39206.26085544373,713.6424719185632,5.204748477083841,7.351763820422915,NO
J_9,0.3542520709271774,38.85400563429054,399.42684729858905,757.3878377214844,75567387.87072766,109.67897952607211,10.280197389637365,1127.5215590220164,10.280197389637365,33.15822048079052,1.0785219590348492,31.879197792555328,0.41282251759186867,14928.346742582456,6763.369888605614,12123.246448414546,0,3803.1598410648357,0.3357814138353771,4030.9301507161745,0.019731824340190274,9.4783691912979,62321.02368436443,95867.1657105168,636299.5986632813,153550.50937421178,121563.9040120935,522272.253073024,522272.253073024,208918.9781040166,401.49931296699714,0.45394186983995927,29.50160236117996,46.353647343898345,21.020963231303465,4.224049489650103,37762.05102231035,892.9695649669542,4.764441381943099,7.881992778575408,NO
